id	bu_code	bu_naam	wk_code	gm_code	gm_naam	water	aant_inw	aant_man	aant_vrouw	p_00_14_jr	p_15_24_jr	p_25_44_jr	p_45_64_jr	p_65_eo_jr	p_ongehuwd	p_gehuwd	p_gescheid	p_verweduw	bev_dichth	aantal_hh	p_eenp_hh	p_hh_z_k	p_hh_m_k	gem_hh_gr	p_west_al	p_n_w_al	p_marokko	p_ant_aru	p_surinam	p_turkije	p_over_nw	auto_tot	auto_hh	auto_land	bedr_auto	motor_2w	a_lftj6j	a_lfto6j	a_bst_b	a_bst_nb	opp_tot	opp_land	opp_water
17779102	BU00030000	Appingedam-Centrum	WK000300	GM0003	Appingedam	NEE	2315	1075	1235	10	10	20	29	31	38	40	9	13	2747	1270	51	29	19	1.8	6	3	0	0	0	1	2	1005	0.8	1194	90	75	310	695	870	135	90	84	5
17779103	BU00030001	Appingedam-West	WK000300	GM0003	Appingedam	NEE	3175	1570	1600	18	10	21	33	18	42	47	6	4	2010	1345	25	37	38	2.4	6	3	0	0	0	1	1	1505	1.1	953	70	160	545	960	1255	255	163	158	5
17779104	BU00050004	Onderdendam	WK000500	GM0005	Bedum	NEE	550	290	255	16	13	25	32	14	47	42	7	4	992	240	32	33	35	2.3	4	1	-99999997	-99999997	-99999997	-99999997	-99999997	325	1.4	590	45	45	70	260	255	75	60	55	4
17779105	BU00030002	Appingedam-Oost	WK000300	GM0003	Appingedam	NEE	5965	2880	3085	16	11	23	27	23	42	41	9	8	2100	2690	34	32	34	2.2	9	8	1	1	1	4	2	2460	0.9	865	120	255	635	1820	2110	345	295	284	11
17779106	BU00050006	Noordwolde	WK000500	GM0005	Bedum	NEE	135	65	70	15	12	17	35	22	41	46	7	7	572	55	25	35	40	2.4	4	1	-99999997	-99999997	-99999997	-99999997	-99999997	75	1.3	320	10	5	15	60	65	10	24	24	0
17779107	BU00070004	Vriescheloo-Zuid	WK000700	GM0007	Bellingwedde	NEE	430	210	220	11	11	19	36	23	39	46	9	6	544	205	34	38	27	2.1	6	1	-99999997	-99999997	-99999997	-99999997	-99999997	255	1.2	324	50	30	55	200	190	70	79	79	0
17779108	BU00030007	Verspreide huizen Damsterdiep en Eemskanaal	WK000300	GM0003	Appingedam	NEE	350	185	165	22	11	25	34	9	49	45	4	1	65	120	13	37	51	2.9	5	0	-99999997	-99999997	-99999997	-99999997	-99999997	180	1.5	34	65	40	70	115	135	50	559	540	19
17779110	BU00050002	Zuidwolde	WK000500	GM0005	Bedum	NEE	935	455	480	16	13	17	37	18	45	45	7	3	1309	405	30	36	35	2.3	5	2	0	0	0	1	1	485	1.2	681	55	105	120	370	380	105	74	71	3
17779111	BU00030008	Verspreide huizen ten zuiden van Eemskanaal	WK000300	GM0003	Appingedam	NEE	100	55	45	18	11	14	43	15	40	53	5	2	18	40	15	44	41	2.6	1	1	-99999997	-99999997	-99999997	-99999997	-99999997	65	-99999997	-99999997	15	15	25	40	45	20	582	554	28
17779112	BU00030009	Verspreide huizen ten noorden van het Damsterdiep	WK000300	GM0003	Appingedam	NEE	155	75	75	20	9	16	36	19	40	52	7	1	20	60	17	47	37	2.6	5	0	-99999997	-99999997	-99999997	-99999997	-99999997	60	1	8	20	5	15	40	45	15	769	756	13
